X,Y,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,LAND_AREA,TOTAL_AREA
322612.413913588,238590.965300111,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02085","268124",Raheny-Foxfield,0.5849220000,0.5849220000
323022.968923064,238925.939839481,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02086","268125",Raheny-Greendale,0.4384860000,0.4384860000
323405.026694653,237882.884784314,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02087","268126",Raheny-St. Assam,2.3726860000,2.3726860000
315854.030375041,235277.307116909,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02088","268138",Rotunda A,0.2494140000,0.2494140000
315505.792090203,234948.92505713,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02089","268139",Rotunda B,0.2084750000,0.2084750000
316063.554472505,238265.873942751,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02090","268157",Whitehall A,1.3172690000,1.3172690000
316306.504650207,238939.170963286,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02091","268158",Whitehall B,0.7525110000,0.7525110000
316731.471787103,239600.327517523,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02092","268159",Whitehall C,0.7344220000,0.7344220000
317033.675277112,238220.351610218,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02093","268160",Whitehall D,0.6846080000,0.6846080000
310322.377177118,234233.341455059,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02094","268037",Chapelizod,1.0842210000,1.1678410000
308010.087654318,233322.3768235,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02095","268038",Cherry Orchard A,0.9820140000,0.9820140000
309063.162799426,233485.77818989,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02096","268039",Carna,0.5726460000,0.5726460000
308838.942412028,232724.609931795,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02097","268040",Cherry Orchard C,1.4132780000,1.4191990000
311860.316638034,232675.159168257,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02098","268051",Crumlin A,0.5436410000,0.5436410000
312908.474268126,232630.558845532,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02099","268052",Crumlin B,0.7481060000,0.7481060000
313803.669439868,232361.484404713,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02100","268053",Crumlin C,0.4981160000,0.4981160000
312778.609481802,231916.909119415,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02101","268054",Crumlin D,0.5859890000,0.5859890000
312242.144353666,232356.816052128,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02102","268055",Crumlin E,0.3771940000,0.3771940000
317531.454576749,236807.389882335,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02046","268050",Clontarf West E,0.3253970000,0.3253970000
316802.377416707,236863.129032991,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02047","268058",Drumcondra South A,1.0364390000,1.0396170000
316475.89608338,236302.417143877,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02048","268059",Drumcondra South B,0.3369290000,0.3430920000
315944.963268725,237322.360057739,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02049","268060",Drumcondra South C,0.7491520000,0.7491520000
320833.443950203,238912.00288879,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02050","268062",Edenmore,0.5836980000,0.5836980000
312166.026003547,239692.53668743,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02051","268063",Finglas North A,0.7265270000,0.7265270000
312701.786674982,239334.753354435,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02052","268064",Finglas North B,0.6489790000,0.6489790000
313306.086493819,239679.955822589,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02053","268065",Finglas North C,1.1130700000,1.1130700000
312263.1490227,238712.074511525,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02054","268066",Finglas South A,0.5853210000,0.5853210000
313320.042358304,238117.918791779,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02055","268067",Finglas South B,0.9997420000,0.9997420000
312699.842730193,238106.564186748,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02056","268068",Finglas South C,0.3668030000,0.3668030000
312093.334172047,238094.40856949,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02057","268069",Finglas South D,0.4435090000,0.4435090000
317737.538568634,237490.904270328,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02058","268070",Grace Park,1.2439700000,1.2439700000
321744.985298016,240490.106298266,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02059","268071",Grange A,1.6742710000,1.6742710000
322682.266437647,240691.590764367,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02060","268072",Grange B,1.1596350000,1.1596350000
322456.877836411,239691.217708186,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02061","268073",Grange C,0.4756830000,0.4756830000
321945.605751805,238967.101784966,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02062","268074",Grange D,0.6626300000,0.6626300000
321404.361136637,239078.438092304,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02063","268075",Grange E,0.5493840000,0.5493840000
320079.122525202,238793.40946332,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02064","268076",Harmonstown A,0.6110110000,0.6110110000
320365.548679761,238253.925450332,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02065","268077",Harmonstown B,0.5756740000,0.5756740000
315498.432865902,235885.665607343,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02066","268080",Inns Quay A,0.3174330000,0.3174330000
315298.859846501,235413.12268873,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02067","268081",Inns Quay B,0.2759500000,0.2829860000
315109.822866223,234618.487631447,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02068","268082",Inns Quay C,0.2759540000,0.2849110000
