,Course Code,Course Name 2019,EOS 2019,Mid 2019,Institution,Test 2019,NotAll 2019,Matric 2019,AQA 2019,Level8 2019
206,DC010,Post Primary Teacher Education - Religious Education and English,386.0,413.0,Dublin City University,False,False,False,False,True
207,DC011,Post Primary Teacher Education - Religious Education and History,352.0,389.0,Dublin City University,False,False,False,False,True
208,DC012,Post Primary Teacher Education - Religious Education and Music,367.0,415.0,Dublin City University,True,False,False,False,True
209,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,509.0,Dublin City University,False,False,False,False,True
210,DC014,BA in Jazz and Contemporary Music Performance,428.0,590.0,Dublin City University,True,False,False,False,True
211,DC110,Business Studies International,440.0,462.0,Dublin City University,False,False,False,False,True
212,DC111,Business Studies,463.0,479.0,Dublin City University,False,False,False,False,True
213,DC112,Global Business (France),495.0,510.0,Dublin City University,False,False,False,False,True
214,DC113,Global Business (Germany),440.0,476.0,Dublin City University,False,False,False,False,True
215,DC114,Global Business (Spain),501.0,543.0,Dublin City University,False,False,False,False,True
216,DC115,Accounting and Finance,487.0,500.0,Dublin City University,False,False,False,False,True
217,DC116,Global Business (USA),578.0,589.0,Dublin City University,False,False,False,False,True
218,DC117,Aviation Management / Aviation Management with Pilot Studies,463.0,487.0,Dublin City University,False,False,False,False,True
219,DC118,Gnó agus Gaeilge / Business and Irish,357.0,399.0,Dublin City University,False,False,False,False,True
220,DC119,Global Business (Canada),566.0,577.0,Dublin City University,False,False,False,False,True
221,DC120,Enterprise Computing,350.0,389.0,Dublin City University,False,False,False,False,True
222,DC121,Computer Applications,370.0,418.0,Dublin City University,False,False,False,False,True
223,DC123,Data Science,467.0,511.0,Dublin City University,False,False,False,False,True
224,DC126,Actuarial Mathematics,520.0,543.0,Dublin City University,False,False,False,False,True
225,DC127,Common Entry into Actuarial and Financial Mathematics,509.0,531.0,Dublin City University,False,False,False,False,True
226,DC131,Communication Studies,400.0,441.0,Dublin City University,False,False,False,False,True
227,DC132,Journalism,401.0,440.0,Dublin City University,False,False,False,False,True
228,DC133,Multimedia,403.0,451.0,Dublin City University,False,False,False,False,True
229,DC155,Applied Language and Translation Studies,371.0,430.0,Dublin City University,False,False,False,False,True
230,DC161,Analytical Science,446.0,463.0,Dublin City University,False,False,False,False,True
231,DC162,Chemical and Pharmaceutical Sciences,488.0,498.0,Dublin City University,False,False,False,False,True
232,DC166,Environmental Science and Technology,412.0,442.0,Dublin City University,False,False,False,False,True
233,DC167,Physics with Astronomy,434.0,477.0,Dublin City University,False,False,False,False,True
234,DC168,Genetics and Cell Biology,489.0,500.0,Dublin City University,False,False,False,False,True
235,DC171,Applied Physics,402.0,433.0,Dublin City University,False,False,False,False,True
236,DC173,Physics with Biomedical Sciences,402.0,458.0,Dublin City University,False,False,False,False,True
237,DC181,Biotechnology,476.0,488.0,Dublin City University,False,False,False,False,True
238,DC190,Electronic and Computer Engineering (with choice of four majors),391.0,433.0,Dublin City University,False,False,False,False,True
239,DC193,Mechatronic Engineering,404.0,445.0,Dublin City University,False,False,False,False,True
240,DC195,Mechanical and Manufacturing Engineering,401.0,444.0,Dublin City University,False,False,False,False,True
241,DC197,Biomedical Engineering,402.0,446.0,Dublin City University,False,False,False,False,True
242,DC200,Common Entry into Engineering (Undenominated Entry),381.0,444.0,Dublin City University,False,False,False,False,True
243,DC201,Common Entry into Science (Undenominated Entry),454.0,477.0,Dublin City University,False,False,False,False,True
244,DC202,Sport Science and Health,467.0,476.0,Dublin City University,False,False,False,False,True
245,DC203,Science Education,424.0,476.0,Dublin City University,False,False,False,False,True
246,DC204,Athletic Therapy and Training,484.0,500.0,Dublin City University,False,False,False,False,True
247,DC205,Physical Education with Biology,490.0,521.0,Dublin City University,False,False,False,False,True
248,DC206,Physical Education with Mathematics,443.0,476.0,Dublin City University,False,False,False,False,True
249,DC208,Psychology,509.0,521.0,Dublin City University,False,False,False,False,True
250,DC209,Health and Society,419.0,440.0,Dublin City University,False,False,False,False,True
251,DC215,General Nursing,414.0,443.0,Dublin City University,False,False,False,False,True
252,DC216,Mental Health Nursing,368.0,389.0,Dublin City University,False,False,False,False,True
253,DC217,Intellectual Disability Nursing,347.0,362.0,Dublin City University,False,False,False,False,True
254,DC218,Children`s and General Nursing (Integrated),467.0,480.0,Dublin City University,False,False,False,False,True
255,DC230,"Economics, Politics and Law",400.0,431.0,Dublin City University,False,False,False,False,True
256,DC231,International Relations,387.0,445.0,Dublin City University,False,False,False,False,True
